Date,CAFCA,CBZ,RIO ZIM,DAIRIBORD,DELTA,ECONET,FIDELITY,INNSCOR,TURNALL,MEIK
2020-01-02,1.78,0.7,2.35,0.43,3.41,1.49,0.09,3.54,0.11,2.54
2020-01-03,1.78,0.7,2.35,0.43,3.46,1.5,0.09,3.55,0.11,2.54
2020-01-06,1.78,0.69,2.7,0.43,3.46,1.5,0.09,3.56,0.11,2.55
2020-01-07,1.78,0.69,2.25,0.43,3.46,1.5,0.09,3.57,0.11,2.55
2020-01-08,1.78,0.69,2.25,0.43,3.46,1.5,0.09,3.57,0.11,2.6
2020-01-09,2,0.69,2.25,0.43,3.45,1.5,0.09,3.57,0.11,2.6
2020-01-10,2,0.69,2.25,0.43,3.45,1.51,0.09,3.57,0.11,2.6
2020-01-13,2,0.69,2.25,0.43,3.48,1.51,0.09,3.57,0.11,2.6
2020-01-14,2,0.69,2.25,0.43,3.5,1.55,0.09,3.59,0.11,2.65
2020-01-15,2,0.69,2.25,0.46,3.5,1.54,0.09,3.6,0.11,2.7
2020-01-16,2,0.69,2.25,0.53,3.5,1.56,0.09,3.6,0.12,2.75
2020-01-17,2,0.69,2.25,0.53,3.49,1.56,0.09,3.64,0.12,2.75
2020-01-21,2,0.69,2.25,0.53,3.49,1.58,0.09,3.65,0.13,2.8
2020-01-22,2,0.66,2.25,0.53,3.5,1.6,0.09,3.65,0.11,2.8
2020-01-23,2,0.62,2.31,0.55,3.5,1.6,0.09,3.69,0.11,3
2020-01-24,2,0.64,2.31,0.58,3.5,1.65,0.09,3.71,0.11,2.81
2020-01-27,2,0.64,2.31,0.58,3.5,1.68,0.09,3.82,0.11,3.05
2020-01-28,2,0.64,2.31,0.58,3.51,1.72,0.09,3.71,0.11,3.1
2020-01-29,2,0.64,2.31,0.61,3.66,1.85,0.09,3.88,0.11,3.65
2020-01-30,2,0.67,2.31,0.61,4,1.98,0.09,3.9,0.11,3.1
2020-01-31,2.4,0.67,2.45,0.61,4.22,2.12,0.09,4,0.11,3.1
2020-02-03,2.4,0.73,2.32,0.58,5.06,2.49,0.09,4.5,0.11,3.5
2020-02-04,2.4,0.8,2.32,0.7,4.45,2.29,0.09,4.49,0.11,3.5
2020-02-05,2.88,0.8,2.35,0.7,4.5,2.28,0.09,4.39,0.11,3.5
2020-02-06,2.88,0.8,2.35,0.7,4.5,2.25,0.09,4.5,0.11,3.5
2020-02-07,2.88,0.8,2.35,0.56,4.67,2.2,0.09,4.51,0.11,3.5
2020-02-10,2.88,0.8,2.35,0.57,5.28,2.19,0.1,4.57,0.11,3.5
2020-02-11,2.88,0.8,2.35,0.57,5.25,2.43,0.1,4.57,0.11,3.52
2020-02-12,3.46,0.8,2.35,0.57,5.8,2.43,0.1,5,0.11,4
2020-02-13,4.15,0.8,2.35,0.57,6.02,2.51,0.1,5.33,0.11,4.8
2020-02-14,4.97,0.96,2.82,0.57,7.22,2.99,0.1,5.55,0.11,5.76
2020-02-18,5.97,1.05,3.38,0.57,8.66,3.54,0.1,6.66,0.11,6.91
2020-02-19,6.75,1.05,3.38,0.57,8.66,3.69,0.1,7,0.14,8.28
2020-02-20,8.1,1.05,3.38,0.68,8.5,3.68,0.11,7,0.14,8.5
2020-02-21,8.28,1.06,3.39,0.82,8.05,3.36,0.11,7,0.14,8.5
2020-02-24,9.93,1.07,3.39,0.82,7.53,3.05,0.11,7,0.14,8.5
2020-02-25,9.93,1.07,4.07,0.98,7.51,3,0.11,7,0.14,8.5
2020-02-26,9.93,1.07,4.7,0.86,7.4,2.95,0.11,7,0.14,8.5
2020-02-27,9.93,1,4.7,0.86,7.13,2.9,0.11,7.05,0.14,8.5
2020-02-28,9.93,1,4.7,0.86,6.98,2.8,0.11,7.14,0.14,8.49
2020-03-02,9.93,1.06,4.7,0.86,6.57,2.8,0.11,7.23,0.14,8.39
2020-03-03,11.91,1.06,4.7,0.86,6.5,2.79,0.11,7.26,0.14,8.5
2020-03-04,14.25,1.06,4.7,0.86,6.3,2.79,0.11,7.49,0.14,8.5
2020-03-05,14.25,1.06,4.7,0.86,6,2.75,0.11,7.55,0.14,8.5
2020-03-06,14.25,1.28,5.1,0.7,5.82,2.7,0.11,7.65,0.14,7
2020-03-09,14.25,1.46,5.1,0.7,5.95,2.68,0.11,7.67,0.14,7
2020-03-10,14.25,1.46,5.1,0.75,6.28,2.51,0.11,7.67,0.16,7
2020-03-11,15,1.46,5.1,0.75,6.52,2.7,0.11,7.81,0.16,7
2020-03-12,15,1.46,6.12,0.67,7.08,2.85,0.11,8.08,0.18,8
2020-03-13,18,1.46,7.34,0.67,7.39,2.84,0.11,8.21,0.15,8.4
2020-03-16,19,1.5,7.34,0.57,7.47,3.02,0.11,8.41,0.15,9.73
2020-03-17,19,1.5,6.12,0.57,6.88,2.95,0.11,8.41,0.15,8.58
2020-03-18,19,1.51,6.12,0.57,6.48,2.68,0.11,8.11,0.12,8
2020-03-19,19,1.51,6.12,0.57,6.31,2.65,0.11,8,0.12,6.55
2020-03-20,19,1.52,6.12,0.57,6.29,2.61,0.11,7.85,0.12,7.23
2020-03-23,19,1.52,6.12,0.57,6.66,2.6,0.11,8,0.12,7.85
2020-03-24,19,1.53,6.12,0.57,7.05,3,0.11,8.05,0.12,7.09
2020-03-25,19,1.54,6.14,0.57,7.05,2.81,0.11,8.05,0.12,8.5
2020-03-26,19,1.54,6.13,0.62,6.77,2.62,0.11,7.76,0.1,7.82
2020-03-27,19,1.54,6.12,0.63,6.44,2.49,0.11,7.76,0.1,7.46
2020-03-30,19,1.54,6.14,0.54,6.25,2.51,0.14,7.5,0.1,8.1
